,sent_1,sent_2,score
77,There is a young girl.,There is a young boy with the woman.,1.0
78,Two women give a demonstration at a Renaissance Fair.,Two people are doing a demonstration at a renaissance fair.,4.2
79,A woman paints a picture of a large building which can be seen in the background.,A person paints a picture of a large building which can be seen in the background.,4.2
80,Some guy sitting on a couch watching television.,A guy is sitting on the couch watching TV,5.0
81,A woman is posing for a Christmas card.,A girl is taking a photo.,1.2
82,Two kids are playing a game of Foosball.,The kids are playing a game with each other.,3.4
83,The man is in a deserted field.,The man is outside in the field.,4.0
84,A little boy is drinking from a juice packet.,A boy is drinking from a juice packet.,4.8
85,A man has his skis ready for the field to get iced out,A man on a boat getting ready to pull in his net to see what he caught.,0.4
86,The biker is doing dangerous stunts.,A biker is doing stunts.,4.4
87,A musician is smearing jam on his white guitar at a concert.,Trombonist playing the her instrument in a band for a parade.,0.4
88,A man is working on his farm.,An old guy is working on his farm and a cow kicks him.,2.8
89,A pair of young boys in t-shirts are hiding in the woods with one looking aghast.,Two smiling little girls playing in a fountain with other people.,0.0
90,A group of people playing soccer on a soccer field in front of a crowd.,A group of men playing soccer in a stadium full of people.,3.0
91,A man is enjoying watching three asian children dance.,A man is watching three asian kids dance.,4.6
92,A girl is talking to her dad on a cellphone.,a girl is talking on her phone.,4.4
93,One person wields an umbrella.,One person is holding an umbrella.,4.4
94,A woman walking down the side of a highway.,A man is standing on one feet on a bridge.,0.4
95,A group of teenagers jumping and having a good time.,A group of kids having a good time.,3.6
96,A man calling for a taxi at the airport on a sunny day.,A man is outside on a July day.,1.4
97,A man is playing his guitar at Joe's Cafe.,The man is playing the drums for his mom.,1.2
98,A young boy has a red fishing pole.,A young boy stands over a bridge with a fishing pole.,3.0
99,A player bounces a ball.,A player catching a ball.,1.6
100,Someone is on a blanket.,The person is making a blanket.,1.4
101,Men competing in a contest.,Two women compete in a contest.,2.4
102,The puppy is outdoor.,A man in printed board shorts is doing a yoga pose on the beach.,0.0
103,The man has a orange shirt.,The woman has a orange shirt.,3.4
104,The two kids look at the products sold inside the subway shop.,The kids are stealing from a store.,0.8
105,The baby boy wants his mother.,A baby boy is happy to see his mother.,2.8
106,A young girl in a pink jacket is playing a board game.,A boy in a jacket playing.,1.6
107,A smiling Caucasian male wearing a blue and black striped shirt it about to take a photograph.,A man in a white shirt and black pants is smiling.,1.6
108,A person is scaling a rock wall.,A person and a horse are above a fence.,0.2
109,A boy is very close to a girl.,A girl is close to a boy whose face is not shown.,3.2
110,Two men are playing a game of Scrabble together.,The two women are playing a game.,2.2
111,Six children are cleaning a room.,Two male children cleaning up leaves in a parking lot.,1.6
112,The girl is very skilled and practices a lot.,The man is very skilled.,2.0
113,Many guards are standing in front of the starting line of a race.,Two men in business dress are standing by the side of a road.,0.4
114,There is a cook preparing food.,A cook is making food.,5.0
115,Two men are helping a boy.,Two men are with a young child.,3.6
116,A man at a farmers market.,A man is at a farmers market.,4.8
117,four people walk toward a tower,Two men walk toward a dome-shaped building.,2.0
118,A little girl and boy are reading books.,An older child is playing with a doll while gazing out the window.,0.2
119,The child would like to swim.,The children want to swim.,3.8
120,Two skiing people are doing cross country skiing.,People skiing cross country.,3.6
121,A dog taking a poop in the street.,A man making balloon animals for two children on a street corner.,0.4
122,Men are fighting after a basketball game.,The men are playing a game of basketball.,2.2
123,A kid is talking in class.,A girl is going to class.,1.8
124,The women are trying to sell something to the individual.,The men are trying to make some money.,1.2
125,People are waiting for the fireworks to start.,Three people are waiting for the rain to stop.,1.2
126,A dog prepares to herd three sheep with horns.,A dog and sheep run together.,2.2
127,People are sitting around dimly lit tables while smiling and laughing.,People are sitting on benches.,2.0
128,A dog is chasing cows.,A white dog is chasing cows.,4.0
129,One football player tries to tackle a player on the opposing team.,A football player attempts a tackle.,4.6
130,Three men are drying to pull a Subaru out of a ditch along a mountain road.,Two men are waiting for a ride on the side of a dirt road.,1.4
131,A woman doesn't have her arms up because she's paralyzed from the neck down,A woman is sitting on the steps because she tripped and hurt her ankle.,0.8
132,People gathered in a room.,People gathered together in a room.,5.0
133,The woman in overalls paints a picture for her wall.,A woman is painting her wall white.,2.6
134,Adding aspirin to the water could kill the plant.,Men are trying to remove oil from a body of water.,0.0
135,Five kids are standing in front of a tent.,People are out sitting in front of a garden.,0.6
136,Female in a maroon shirt engaged in conversation with another female in a tan blazer.,"A girl in a blue dress and another girl in a purple dress, both smiling.",1.2
137,Baseball players playing a game at the park.,"A basketball player, playing in the home coming game.",1.6
138,They are preparing for a performance at school.,Two medical professionals in green look on at something.,0.0
139,The woman is wearing yellow.,The woman is wearing red.,2.8
140,Some smiling children are standing in front of an ocean sunset.,People walking in the dark.,0.6
141,A man is doing a stunt on his bicycle.,A man is doing a wheelie on his motorcycle.,3.2
142,Ten people riding ATVs.,4 people are riding bikes,1.6
143,Two fishermen try to untangle their large fishing net on the side of the road on a cloudy day.,Several men pull a fishing net up on to the beach.,3.0
144,A yellow vested person is doing road work.,A person is doing very well on their skateboard.,0.2
145,The woman had brown hair.,The woman has gray hair.,2.4
146,Black and white image of a wave crashing in the ocean.,a small black dog in the ocean with some rocks in the background,0.6
147,A lady and her daughter look through a microscope.,A girl and a lady both looking through a microscope.,4.6
148,Two workers are sitting next to pipes eating lunch,The construction workers are sitting down to eat lunch.,3.8
149,A boy does a skateboard trick on the stairs downtown.,a boy is running on the sidewalk,0.6
150,A group of people living in the desert,A group of people in the middle of the desert.,4.0
151,Two kids are swimming.,Six kids are going swimming.,2.8
152,Three humans are walking a dog.,Three people are walking a dog.,4.8
153,There are people out on the street.,People are out on the street.,5.0
154,people getting their dirty clothes cleaned,People are getting their clothes cleaned.,5.0
155,Two women are lost and calling for help.,Two Asian men are gathering materials for their business and their child had to come with them.,0.2
156,A man is throwing a penny into a fountain.,A little boy is throwing a man in water.,0.6
157,The children are holding musical instruments.,A group of children are singing and playing instruments,3.4
158,Two girls are playing Doctor inside their house.,The two girls are walking with their father.,0.8
159,A crowd of men wearing paper numbers on their shirts run in a race.,Several men running down a grass field wearing numbers on the front of their shirts.,3.6
160,A group of people are wearing police uniforms conducting an arrest.,A group of police officers are wearing protection.,2.8
161,The fruits should be eaten with lemon juice in order to prevent oxidation in your stomach.,three dogs growling On one another,0.0
162,A doctor prescribes medicine to a patient.,A doctor prescribes a medicine.,4.4
163,A woman is in the bathroom.,The woman is in a bathroom.,4.6
164,Spectators taking pictures of a rally car.,A crowd of people watching cars race down the track.,2.8
165,The man and woman are resting on a couch.,A man and woman are asleep on the couch.,4.0
166,the man is planning to shoot a wedding,the woman is going to a wedding.,1.4
167,The boy in the green jersey plays goalie on the soccer team.,The team in blue is playing a game against the team in white,1.0
168,The child's bike got wet.,She is putting away the bike.,1.2
169,A soldier walks a dog.,A man walks a dog.,3.2
170,A shirtless woman is operating a lawn mower.,A girl is mowing the grass with a lawn mower.,3.0
171,People are near water,People are near water.,5.0
172,The two officers are driving,Two officers are on horses.,2.2
173,Friends walk into a building,a man walks along walkway to the store,0.4
174,The lady looks sad because no one is buying her wares.,The lady is selling things.,2.0
175,The rollerblades are moving.,Two vehicles are going towards the camera.,0.8
176,There is a older man near a window.,A boy is near some stairs.,0.4
177,A guy and a girl are rock climbing with backpacks on.,Two boys are riding on a toy with a blonde girl running long side of them.,0.0
178,In Abu Dhabi the Golden Market is one of the premier public outdoor shopping areas.,A busy city square in an asian country.,1.6
179,A pregnant woman is in labor,a woman has a child.,1.6
180,A flock of birds hovered over the sandy beach.,Birds are flying at a beach.,3.8
181,people walk home,People waiting.,1.6
182,The religious people are enjoying the outdoors.,The group of people are enjoying the outdoors.,3.6
183,A girl in water without goggles or a swimming cap.,"A girl in water, with goggles and swimming cap.",3.0
184,A man is performing a stunt outdoors.,A young man on a beach is performing skateboard stunts.,2.8
185,A man is laughing with a woman,A man and a woman laughing.,4.8
186,He is about to run into the boat,The man is getting his boat clean to take it out on the water.,1.2
187,2 Cows are in a field.,Two sheep are in a field.,2.4
188,A wet child enjoys the summer.,A woman is enjoying the summer weather.,1.8
189,There was girl stranded on the roof.,The couple was on the bed.,0.2
190,There are four snowboarders going off a jump and that are in the air.,Two racers are coming to a turn.,1.0
191,The girl has a driver's license,A man has a driver's license.,2.6
192,People on motorcycles wearing racing gear ride around a racetrack,People on motorcycles ride around a racetrack,3.8
193,A man is standing on the ground with a paintbrush,A man with a crutch lying on the ground.,1.2
194,The kids are at the theater watching a movie.,it is picture day for the boys,0.2
195,Two women walk down the sidewalk to the store.,Two women walk down the sidewalk in the afternoon.,3.8
196,A man has his son on his back,A man spent his time with his son.,2.4
197,A group of dark-skinned people are walking past barbed wire.,Two women are gossiping by a fence.,0.4
198,Zombies parading around eating brains.,The zombies are eating flesh together.,3.4
199,A group of people are sitting at at a beach on towels watching the Blue Angels.,A group of people are sitting at a beach watching the Blue Angels.,4.2
200,"A basketball player makes the 5th rebound of the night,",A tennis player in the middle of a game.,1.4
201,Three people are meeting for coffee.,Two people make coffee.,2.4
202,A young girl with dirt on her face and a red child's bike is in the background.,The old woman in shorts and a white t-shirt is standing on a path watching children play.,0.8
203,A helicopter is getting ready to take off.,The plane is getting ready to take off.,2.8
204,A line of scooters are parking in the middle of a street.,A line of motor bikes are parked in the middle of a street.,4.4
205,A man holding a cat.,A man holding a dog.,3.0
206,A man doing a jumping bike trick surrounded by trees.,A boy riding a green trick bike over some steps outdoors.,3.0
207,Three guys in speedos have their feet up on the railing of a boat getting a tan.,A few men on the deck are dropping another man into the water,1.6
208,A group wading across a witch,A group wading across a ditch,2.8
209,A woman jumps and poses for the camera.,A woman poses for the camera.,4.0
210,A man is on a rooftop,A man is holding a microphone in a room.,0.8
211,There are two men near a wall.,Three women are sitting near a wall.,2.0
212,The cats are running through the grass.,Some dogs running through the park.,2.0
213,The two boys are playing kick ball back and forth to each other.,The players are kicking each other while attempting to kick the ball.,3.0
214,Two girls are running.,Three boys are running.,2.2
215,The two men are wearing jeans.,The two men are wearing pants.,4.4
216,A little girl in a white blouse and blue pants frolics on the grass.,A woman in a green shirt and white pants golfs on the green.,1.8
217,The man without a shirt is jumping.,The man jumping is not wearing a shirt.,4.6
218,The woman is holding the hands of the man.,The woman is checking the eyes of the man.,2.4
219,A man walks his dog on the beach.,A man with his dog on the beach.,4.4
220,The child is the woman's kid.,There is a boy and a girl.,0.8
221,A soccer player is kicking the ball.,The soccer player gave the ball a high kick.,3.8
222,Two boys in black swimming trunks are holding another boy by his arms and legs on a beach.,Man in white shirt flipping young boy in the water with four other boys surrounding them.,1.4
223,The player shoots the winning points.,The basketball player is about to score points for his team.,2.8
224,A man in a white shirt and hat playing a guitar.,A man in a green shirt and black hat playing a guitar on stage.,2.8
225,A black hooded man is using a large magnifying glass to look at a booklet.,A white hooded woman is using a magnifying glass to look at a booklet.,2.8
226,the people are running a marathon,People are running a marathon,5.0
227,A motorcross driver going by during a race,A race car driver performs in the race of his life.,3.0
228,A group of people are nervous about crossing the water.,A group of people are on the water.,2.2
229,A group of kids are having a jumping contest.,A group of kids are having a sleepover.,1.2
230,The gate is blue.,The gate is yellow.,1.6
231,The person is wearing a fedora.,A man is wearing a uniform.,1.6
232,A woman and a man embrace while watching a horror movie.,A man and a woman watch a movie together.,2.8
233,A man in a blue dress shirt.,A man in a white shirt and blue pants is talking with a woman in a pink shirt.,1.8
234,A couple is playing the game of Life.,The family is playing a game together.,2.6
235,The head of a child with dark glasses is in focus.,There is a woman with a full head of hair.,0.2
236,A dog walks along a beach with breaking waves.,A boy with an oar walks out of the surf and onto a beach.,1.0
237,A pair of men walk along the beach.,Two men standing in the surf on a beach.,2.6
238,Blond woman in a tunnel.,The couple kissing is near a blond woman.,1.6
239,A maintenance guy is repairing a net on a tennis court.,A man removing a tennis net.,2.4
240,A kid sits on a soccer ball outside.,A kid sitting on a soccer ball at the park.,4.2
241,The raven droned as is hopped along the grass.,The skinny dog with the long tail is traveling through the field.,0.2
242,A man in a brown coat rubs his nose.,A bald man with a red beard holds his hand near his mouth.,2.2
243,The dog is chasing the geese.,One dog is chasing the other.,1.6
244,Small child playing with letter P,2 young girls are sitting in front of a bookcase and 1 is reading a book.,0.8
245,A brown dog is jumping.,A brown dog is jumping,5.0
246,the man is catching a ball,A man is kicking a ball.,3.0
247,Two men are sitting in the room.,Two men are standing in a room.,3.0
248,A group of teenagers in red shirts are smiling.,A group of people are wearing orange shirts.,1.2
249,The woman is waiting for her date.,The woman is on her way to a date.,3.2
250,Bread lasts longer out of the refrigerator.,Storing bread in the freezer you can store for several days and keep it soft.,3.9738
251,"Some people I know claim it imparts the salt flavor to meat, without any of the actual sodium being present.",Salt is a good means to control/suppress flames and flareups without having a cooling effect on the coals.,3.4675
252,Soaking for a while in cold water beforehand also helps tame the bitterness.,"Braising gently in milk will also, I find, help with bitterness.",3.0174
253,"Probably use it quickly, I would think...","If you want it light, you need to use it quickly, as the bubbles will disappate over time.",1.8270
254,The carrots are rotten.,"When carrots turn black, it is almost always caused by rot.",3.8025
255,"I think you're looking for a ""sandwich press.","The device is called a ""panini press"" and they're available fairly small",3.9738
256,"Could be Topaz Adjust, or any HDR program.",I used Photoshop with Topaz Labs Denoise and Adjust,3.4675
257,The CN Tower in Toronto seems pretty good too: 22 km per hour,"The worlds fastest elevator: Burj Khalifa with 64 km per hour Though, the speed of the elevator to the observation deck is 36 km per hour",3.0174
258,"If you are going to Italy, the Video Game Museum ViGaMus in Rome will be the place to visit.","The Computerspielemuseum in Berlin claims to have been ""the world's first permanent exhibition devoted to digital interactive entertainment culture.""",1.8270
259,It is Santorini.,"According to Google Image, it should be Santorini.",3.8025
260,"Pretty sure you're thinking of The Host by Stephanie Meyer, of Twilight fame.",I finally found it: It's The Lives of Tao by Wesley Chu,3.9738
261,Sounds vaguely like Paycheck.,Sounds almost like Greg Egan's Quarantine but as far as I know that's only a novel.,3.4675
262,I think you mean self-inflicted (of an injury) having been inflicted on oneself by oneself or self-induced induced or brought on by oneself or itself,Consider self-defeating causing the same problems that you were intending to solve,3.0174
263,"Perhaps realize: ""He realized his full power.""",He has unleashed his full potential.,1.8270
264,"I have heard the phrase ""gal pal"" used in this way.","Personally I typically use ""guy friends"" and ""lady friends"" to avoid the relationship connotation.",3.8025
265,The notion of groupthink is closely related.,Perhaps they are members of a mutual admiration society.,3.9738
266,"In technical computer manuals we use the word ""deprecate"".","I would suggest ""advise against."" ",3.4675
267,Consider uncomprehending Not understanding; having little or no comprehension.,You may want to use oblivious.,3.0174
268,He is a dependent friend.,He may be called a moocher.,1.8270
269,It went from bad to worse,"Out of the frying pan, into the fire.",3.8025
270,A person who is demoralized may give up easily.,"A defeatist expects to fail, and therefor, either does not try at all or tries in a half-hearted manner.",3.9738
271,The term sorted seems to cover both alphabetic and numeric.,"""Collated"" is a more general term that encompasses both alphabetical and numeric sorting.",3.4675
272,A Pyrrhic victory,Cutting off your nose to spite your face,3.0174
273,How about trashy?,"Garbage is suitable, I think.",1.8270
274,I would say weakened or lost.,"Without more context, it's difficult to know, but I'd try ""Faded"" (means the same as ""reduced"") or ""changed"".",3.8025
275,the path is completed by the voltage meter,terminal 2 is not separated from the negative battery terminal,1
276,it is connected to the batteries positive terminal,terminal 1 is connected to the negative battery terminal,2.33333333333333
277,Because terminal 1 was hooked u to the positive terminal which is automatically 1.5 V,Terminal 1 and the positive terminal are not connected,2.33333333333333
278,because of the gap,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",2.33333333333333
279,that the battery has created a short circut and is dangerous,there is a short circuit,2.66666666666667
280,the battery is not in the closed path,The battery in 4 is not in a closed path,4
281,Terminal 2 had a 0.00 V.,Terminal 3 and the positive terminal are not connected,1
282,they are contained in the same closed path,B and C are in the same path,3
283,there was no gap between the positive battery terminal and terminal 1 and terminal 2.,Terminals 1 and 2 are in the same electrical state,1.33333333333333
284,a closed path is required,the circuit has a closed path,2.66666666666667
285,The electrical state is broken.,A non-zero voltage means that the terminals are not connected.,1
286,The positive battery terminal is separated by a gap from terminal 2.,There is no gap between terminals 1 and 2,1.66666666666667
287,"There is no gap, same electrical state.",Terminal 4 and the positive terminal are not separated by the gap,2.66666666666667
288,because only one of the bulb terminals is bad.,"Terminals 4, 5 and 6 are connected to the positive battery terminal",1
289,bulb a and bulb c still had a complete path to the battery,Bulbs A and C are still contained in closed paths with the battery,4.66666666666667
290,Terminal 1 is connected tot he positive terminal.,terminal 1 is connected to the negative battery terminal,2.66666666666667
291,"The electrical state for the bulb terminal and the battery terminal will have a charge of 0 if connected so if the charge is anything that isn""t 0 V, there is a gap at that bulb",A non-zero voltage means that there is a gap,4
292,The have the same electrical states,The terminals are in the same state.,3.66666666666667
293,Terminal 1 and terminal 2 are connected to each other.,Terminals 1 and 2 are connected,4.66666666666667
294,it was still connected to the battery,Bulb A is still contained in a closed path with the battery.,3.66666666666667
295,the electrical state will be different in the gap,Measuring voltage indicates the place where the electrical state changes due to a gap.,2.66666666666667
296,Bulb C had an open path with the battery,Bulb C was no longer in a closed path with the battery,4.33333333333333
297,Because when the voltage goes from 1.5 to 0.0 you can locate the gap.,A non-zero voltage means that there is a gap,3
298,"Where there is a difference in electrical state, that is where the gap in the connection is.",Measuring voltage indicates the place where the electrical state changes due to a gap.,4
299,the bulb terminal has no gap and the bulb will light,There is a gap.,2.66666666666667
300,"i had a dream i was surronded by bamboo, on my belly and scared.","a little over a year later i was surronded by bamboo, on my belly and scared.",4
301,there is hope in iraq.,there was no threat.,0
302,a very clear miscarriage of justice.,i agree on the miscarriage of justice.,3
303,ain't that wonderful of the man?,isn't that what you want?,0
304,driving on an icy road and wrecking isn't a federal problem until it affects thousands of people.,every winter driving on icy roads affects thousands of people.,3
305,"as i asked, where's the 6 trillion dollars in that graph?",can you explain where the 6 trillion dollars is in that graph?,5
306,this country is far and away better than any other on earth..,"no country is perfect, but this country is far and away better than any other on earth.",5
307,"you know, you're right.","well, you're half right.",3
308,he is cutting spending.,i hate bloated spending.,1
309,god you guys are dumb.,boy you dummies are dumb..,2
310,Fourth arrest in body-in-bin probe,Three held after body found in bin,3.9738
311,Indian air force to buy 126 Rafale fighter jets,India awards Dassault $12 billion contract to replenish ageing air force,3.4675
312,BBC News: Deaths in Ukraine and Poland in freezing Europe weather,Ukraine: Europe hit by deadly cold snap,3.0174
313,"Gingrich Takes Georgia, Leaning on a Southern-Based Strategy",Super Tuesday: Newt Gingrich says he's a survivor,1.8270
314,Iranian Hopes Dashed at Non-Aligned Summit,UN chief asks Iran to prove its nuclear program peaceful,3.8025
315,A man with a bottle is petting a brown horse.,Man petting horse over fence.,3.5349
316,A white cat rests it head on a stone.,A striped cat looking lazily through vertical blinds.,3.6924
317,An English-themed furniture set.,A large steam locomotive pulling a passenger train through the countryside.,0.5730
318,An airplane sitting on the tarmac at an airport with another plane in the background., White and green commercial airliner taking off of runway.,3.2319
319,The udders of a dairy cow that is standing in a pasture near a large building.,A cows ass and some buildings ,1.2929
